timestamp_utc,url,final_url,http_code,time_total,error,dns_lookup_ms,dns_success,dns_error
2026-01-25T00:35:27+00:00,https://example.com,https://example.com/,200,0.068892,,8.73,True,
2026-01-25T00:35:27+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.248928,,8.7,True,
2026-01-25T00:35:27+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.410442,,93.72,True,
2026-01-25T00:35:27+00:00,https://www.apple.com,https://www.apple.com/,200,0.077146,,9.22,True,
2026-01-25T00:35:27+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.250617,,6.55,True,
2026-01-25T00:35:56+00:00,https://example.com,https://example.com/,200,0.048859,,12.07,True,
2026-01-25T00:35:56+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.236518,,8.16,True,
2026-01-25T00:35:56+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.378742,,63.84,True,
2026-01-25T00:35:56+00:00,https://www.apple.com,https://www.apple.com/,200,0.111091,,7.21,True,
2026-01-25T00:35:56+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.092743,,7.53,True,
2026-01-25T00:40:57+00:00,https://example.com,https://example.com/,200,0.072095,,9.14,True,
2026-01-25T00:40:57+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.296773,,9.81,True,
2026-01-25T00:40:57+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.341658,,65.45,True,
2026-01-25T00:40:57+00:00,https://www.apple.com,https://www.apple.com/,200,0.076875,,10.37,True,
2026-01-25T00:40:57+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.171641,,9.43,True,
2026-01-25T00:42:16+00:00,https://example.com,https://example.com/,200,0.059536,,14.79,True,
2026-01-25T00:42:16+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.319629,,6.54,True,
2026-01-25T00:42:16+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.412464,,94.51,True,
2026-01-25T00:42:16+00:00,https://www.apple.com,https://www.apple.com/,200,0.139292,,10.01,True,
2026-01-25T00:42:16+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.075466,,7.01,True,
2026-01-25T00:47:17+00:00,https://example.com,https://example.com/,200,0.059712,,6.88,True,
2026-01-25T00:47:17+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.257066,,7.63,True,
2026-01-25T00:47:17+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.429755,,68.35,True,
2026-01-25T00:47:17+00:00,https://www.apple.com,https://www.apple.com/,200,0.07395,,10.05,True,
2026-01-25T00:47:17+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.332265,,9.43,True,
2026-01-25T00:52:19+00:00,https://example.com,https://example.com/,200,0.064961,,7.44,True,
2026-01-25T00:52:19+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.23853,,8.98,True,
2026-01-25T00:52:19+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.383488,,65.6,True,
2026-01-25T00:52:19+00:00,https://www.apple.com,https://www.apple.com/,200,0.131077,,9.68,True,
2026-01-25T00:52:19+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.172493,,7.95,True,
2026-01-25T00:57:20+00:00,https://example.com,https://example.com/,200,0.05979,,10.66,True,
2026-01-25T00:57:20+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.253264,,6.02,True,
2026-01-25T00:57:20+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.36848,,66.7,True,
2026-01-25T00:57:20+00:00,https://www.apple.com,https://www.apple.com/,200,0.097546,,10.33,True,
2026-01-25T00:57:20+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.237381,,10.47,True,
2026-01-25T01:02:21+00:00,https://example.com,https://example.com/,200,0.058724,,9.5,True,
2026-01-25T01:02:21+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.246856,,6.95,True,
2026-01-25T01:02:21+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.388553,,67.46,True,
2026-01-25T01:02:21+00:00,https://www.apple.com,https://www.apple.com/,200,0.087219,,7.75,True,
2026-01-25T01:02:21+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.742378,,6.26,True,
2026-01-25T01:07:23+00:00,https://example.com,https://example.com/,200,0.056695,,9.08,True,
2026-01-25T01:07:23+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.300803,,6.42,True,
2026-01-25T01:07:23+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.378709,,52.18,True,
2026-01-25T01:07:23+00:00,https://www.apple.com,https://www.apple.com/,200,0.07235,,6.64,True,
2026-01-25T01:07:23+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.138884,,9.29,True,
2026-01-25T01:12:24+00:00,https://example.com,https://example.com/,200,0.05885,,6.55,True,
2026-01-25T01:12:24+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.355189,,7.52,True,
2026-01-25T01:12:24+00:00,https://www.extremenetworks.com,https://www.extremenetworks.com/,200,0.417136,,65.77,True,
2026-01-25T01:12:24+00:00,https://www.apple.com,https://www.apple.com/,200,0.078993,,9.12,True,
2026-01-25T01:12:24+00:00,https://www.cisco.com,https://www.cisco.com/,200,0.140129,,8.92,True,
2026-01-25T01:17:25+00:00,https://example.com,https://example.com/,200,0.059959,,9.8,True,
2026-01-25T01:17:25+00:00,https://www.cloudflare.com,https://www.cloudflare.com/,200,0.243295,,11.39,True,
